Sl No.,customerID,genderword,SeniorCitizen,PartnerWord,DependentsW,tenure,PhoneServicew,MultipleLinesw,PaperlessBillingW,Churnwords,OnlineSecurityW,OnlineBackupW,DeviceProtection_A,TechSupport_A,StreamingTV_A,StreamingMovies_A,InternetService_A,Contract_A,PaymentMethod_A,MonthlyCharges,TotalCharges,Cust_Calls,,,,,,,,,Rand,Sl.No,customerID,genderword,SeniorCitizen,PartnerWord,DependentsW,tenure,PhoneServicew,MultipleLinesw,PaperlessBillingW,Churnwords,OnlineSecurityW,OnlineBackupW,DeviceProtection_A,TechSupport_A,StreamingTV_A,StreamingMovies_A,InternetService_A,Contract_A,PaymentMethod_A,MonthlyCharges,TotalCharges,Cust_Calls,CustSegment,filter_$,,,,,,,
10362,9248-OJYKK,Male,YES,No,No,1,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Fiber optic,Month-to-month,Electronic check,76.45,76.45,0,,,,,,,,,5936,11,8773-HHUOZ,Female,NO,No,Yes,17,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,DSL,Month-to-month,Mailed check,64.7,1093.1,1,2,0,,,,,,,
706,4749-VFKVB,Female,NO,No,No,1,Yes,Yes,Yes,Yes,No,No,No,No,No,No,DSL,Month-to-month,Mailed check,50.1,50.1,0,,,,,,,,,6182,12,6047-YHPVI,Male,NO,No,No,5,Yes,No,Yes,Yes,No,No,No,No,No,No,Fiber optic,Month-to-month,Electronic check,69.7,316.9,1,1,1,,,,,,,
3652,6230-BSUXY,Female,YES,No,No,1,Yes,No,Yes,Yes,No,No,Yes,No,No,Yes,Fiber optic,Month-to-month,Electronic check,85,85,0,,,,,,,,,7563,13,5380-WJKOV,Male,NO,No,No,34,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Fiber optic,Month-to-month,Electronic check,106.35,3549.25,2,3,0,,,,,,,
7033,1086-LXKFY,Female,NO,Yes,Yes,1,Yes,No,Yes,Yes,No,No,No,No,No,No,Fiber optic,Month-to-month,Mailed check,69.1,69.1,0,,,,,,,,,5055,14,8168-UQWWF,Female,NO,No,No,11,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Fiber optic,Month-to-month,Bank transfer (automatic),97.85,1105.4,2,2,1,,,,,,,
882,3658-KIBGF,Female,NO,No,No,1,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,DSL,Month-to-month,Electronic check,54.9,54.9,0,,,,,,,,,3249,15,7760-OYPDY,Female,NO,No,No,2,Yes,No,Yes,Yes,No,No,No,No,Yes,No,Fiber optic,Month-to-month,Electronic check,80.65,144.15,0,1,0,,,,,,,
3867,3930-ZGWVE,Male,NO,No,No,1,Yes,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Month-to-month,Mailed check,19.75,19.75,4,,,,,,,,,2578,16,9420-LOJKX,Female,NO,No,No,15,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Fiber optic,Month-to-month,Credit card (automatic),99.1,1426.4,4,2,1,,,,,,,
4715,5875-YPQFJ,Male,NO,No,No,1,Yes,No,Yes,Yes,No,No,No,No,No,No,Fiber optic,Month-to-month,Electronic check,69.9,69.9,0,,,,,,,,,347,17,7495-OOKFY,Female,YES,Yes,No,8,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,Fiber optic,Month-to-month,Credit card (automatic),80.65,633.3,1,2,1,,,,,,,
3034,8280-MQRQN,Female,NO,No,No,1,Yes,No,Yes,Yes,No,No,Yes,No,No,No,DSL,Month-to-month,Mailed check,50.45,50.45,0,,,,,,,,,7302,18,1658-BYGOY,Male,YES,No,No,18,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Fiber optic,Month-to-month,Electronic check,95.45,1752.55,2,2,1,,,,,,,
3269,2982-IHMFT,Female,YES,No,No,1,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Fiber optic,Month-to-month,Mailed check,74.45,74.45,0,,,,,,,,,6704,19,5698-BQJOH,Female,NO,No,No,9,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,Fiber optic,Month-to-month,Electronic check,94.4,857.25,1,2,0,,,,,,,
763,9747-DDZOS,Female,NO,No,No,1,Yes,No,No,Yes,No,No,Yes,No,No,No,Fiber optic,Month-to-month,Bank transfer (automatic),73.5,73.5,0,,,,,,,,,2145,20,5919-TMRGD,Female,NO,No,Yes,1,Yes,No,Yes,Yes,No,No,No,No,Yes,No,Fiber optic,Month-to-month,Electronic check,79.35,79.35,0,1,0,,,,,,,
6136,3722-WPXTK,Male,NO,No,No,1,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,Fiber optic,Month-to-month,Electronic check,88.35,88.35,0,,,,,,,,,7894,21,9191-MYQKX,Female,NO,Yes,No,7,Yes,No,Yes,Yes,No,No,Yes,No,No,No,Fiber optic,Month-to-month,Bank transfer (automatic),75.15,496.9,4,2,0,,,,,,,
161,0887-HJGAR,Male,NO,No,No,1,Yes,No,Yes,Yes,No,No,No,No,No,No,DSL,Month-to-month,Mailed check,45.7,45.7,4,,,,,,,,,9691,22,8637-XJIVR,Female,NO,No,No,12,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Fiber optic,Month-to-month,Electronic check,78.95,927.35,1,2,0,,,,,,,
10477,3590-TCXTB,Male,NO,No,No,1,Yes,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Month-to-month,Mailed check,20.35,20.35,3,,,,,,,,,9670,23,0278-YXOOG,Male,NO,No,No,5,Yes,No,No,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Month-to-month,Mailed check,21.05,113.85,0,1,1,,,,,,,
7924,8620-RJPZN,Female,NO,No,No,1,Yes,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Month-to-month,Electronic check,20.7,20.7,3,,,,,,,,,7974,24,4598-XLKNJ,Female,YES,Yes,No,25,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Fiber optic,Month-to-month,Electronic check,98.5,2514.5,2,3,1,,,,,,,
7428,9488-HGMJH,Female,YES,No,No,1,Yes,No,Yes,Yes,No,No,No,No,No,No,Fiber optic,Month-to-month,Electronic check,71.15,71.15,0,,,,,,,,,9644,25,3192-NQECA,Male,NO,Yes,No,68,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Fiber optic,Two year,Bank transfer (automatic),110,7611.85,4,3,1,,,,,,,
8669,8180-AKMJV,Female,NO,No,No,1,Yes,No,Yes,No,No,No,No,No,No,No,DSL,Month-to-month,Credit card (automatic),44.55,44.55,0,,,,,,,,,9466,26,0486-HECZI,Male,NO,Yes,No,55,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Fiber optic,Month-to-month,Electronic check,96.75,5238.9,3,3,1,,,,,,,
9391,9752-ZNQUT,Female,NO,No,No,1,Yes,No,Yes,No,No,Yes,No,No,No,No,DSL,Month-to-month,Electronic check,48.6,48.6,0,,,,,,,,,3712,27,4846-WHAFZ,Female,YES,Yes,No,37,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Fiber optic,Month-to-month,Electronic check,76.5,2868.15,2,3,1,,,,,,,
10293,2856-HYAPG,Female,NO,No,No,1,Yes,No,No,Yes,No,No,No,No,No,No,Fiber optic,Month-to-month,Electronic check,68.65,68.65,0,,,,,,,,,5106,28,5299-RULOA,Female,NO,Yes,Yes,10,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Fiber optic,Month-to-month,Electronic check,100.25,1064.65,1,2,1,,,,,,,
3575,9223-UCPVT,Female,NO,No,No,1,Yes,No,No,Yes,No,No,Yes,No,Yes,Yes,Fiber optic,Month-to-month,Electronic check,94.4,94.4,0,,,,,,,,,1128,29,0404-SWRVG,Male,NO,No,No,3,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Fiber optic,Month-to-month,Electronic check,74.4,229.55,0,1,0,,,,,,,
10638,3926-CUQZX,Male,NO,No,No,1,Yes,No,Yes,Yes,No,No,No,No,No,No,DSL,Month-to-month,Bank transfer (automatic),45.1,45.1,4,,,,,,,,,783,30,4412-YLTKF,Female,YES,No,No,27,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,Fiber optic,Month-to-month,Electronic check,78.05,2135.5,2,2,0,,,,,,,
1175,7908-QCBCA,Female,NO,Yes,No,1,Yes,No,Yes,Yes,No,No,No,No,No,No,Fiber optic,Month-to-month,Mailed check,69.4,69.4,0,,,,,,,,,8322,31,6207-WIOLX,Female,NO,Yes,Yes,25,No,No phone service,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,DSL,Month-to-month,Credit card (automatic),58.6,1502.65,5,2,0,,,,,,,
2435,9787-XVQIU,Male,NO,No,No,1,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Fiber optic,Month-to-month,Electronic check,75.3,75.3,0,,,,,,,,,325,32,3091-FYHKI,Male,NO,No,No,1,No,No phone service,Yes,Yes,No,No,No,No,No,Yes,DSL,Month-to-month,Electronic check,35.45,35.45,2,1,1,,,,,,,
2767,4510-HIMLV,Male,NO,No,No,1,Yes,No,Yes,Yes,No,No,No,No,No,No,Fiber optic,Month-to-month,Electronic check,69.8,69.8,0,,,,,,,,,8818,33,2372-HWUHI,Male,NO,No,No,2,Yes,No,No,Yes,No,No,No,No,No,No,DSL,Month-to-month,Electronic check,44.35,81.25,0,1,0,,,,,,,
7544,8644-XLFBW,Male,YES,No,No,1,Yes,No,Yes,Yes,No,No,No,No,No,No,Fiber optic,Month-to-month,Electronic check,71.65,71.65,0,,,,,,,,,4526,34,0390-DCFDQ,Female,YES,Yes,No,1,Yes,No,Yes,Yes,No,No,No,No,No,No,Fiber optic,Month-to-month,Mailed check,70.45,70.45,0,1,0,,,,,,,
2801,4317-VTEOA,Male,NO,No,No,1,Yes,No,Yes,Yes,No,Yes,No,No,No,No,DSL,Month-to-month,Electronic check,50.75,50.75,0,,,,,,,,,9891,35,4080-OGPJL,Female,NO,No,No,8,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Yes,DSL,Month-to-month,Electronic check,71.15,563.65,1,2,1,,,,,,,
1483,1493-AMTIE,Male,NO,No,No,1,Yes,No,Yes,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Month-to-month,Bank transfer (automatic),20.2,20.2,3,,,,,,,,,9183,36,2135-RXIHG,Male,NO,No,No,1,Yes,No,Yes,Yes,No,No,No,No,No,No,DSL,Month-to-month,Electronic check,45.65,45.65,4,1,1,,,,,,,
7681,6959-UWKHF,Male,NO,No,No,1,Yes,No,Yes,Yes,No,No,No,No,No,No,DSL,Month-to-month,Electronic check,42.9,42.9,2,,,,,,,,,6098,37,3874-EQOEP,Male,NO,No,No,7,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,Fiber optic,Month-to-month,Mailed check,95,655.5,3,2,1,,,,,,,
8443,1928-BXYIV,Male,NO,No,No,1,Yes,Yes,No,No,Yes,Yes,No,No,No,No,DSL,Month-to-month,Electronic check,61.15,61.15,0,,,,,,,,,7638,38,0867-MKZVY,Female,NO,Yes,No,20,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Fiber optic,Month-to-month,Electronic check,82.4,1592.35,1,2,0,,,,,,,
10237,0742-NXBGR,Female,NO,No,No,1,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,Fiber optic,Month-to-month,Electronic check,82.3,82.3,0,,,,,,,,,4657,39,3376-BMGFE,Female,NO,No,No,4,Yes,No,Yes,Yes,No,No,No,No,No,No,Fiber optic,Month-to-month,Bank transfer (automatic),70.9,273,1,1,0,,,,,,,
4522,4678-DVQEO,Female,NO,No,No,1,Yes,No,Yes,Yes,No,No,No,Yes,No,No,DSL,Month-to-month,Electronic check,52.2,52.2,0,,,,,,,,,829,40,3445-HXXGF,Male,YES,Yes,No,58,No,No phone service,Yes,Yes,No,Yes,Yes,No,No,Yes,DSL,Month-to-month,Electronic check,45.3,2651.2,2,3,1,,,,,,,
8385,5032-MIYKT,Female,NO,No,No,1,Yes,No,Yes,No,No,No,No,No,No,No,Fiber optic,Month-to-month,Mailed check,70.7,70.7,0,,,,,,,,,3580,41,1875-QIVME,Female,NO,Yes,No,2,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Fiber optic,Month-to-month,Electronic check,104.4,242.8,0,1,1,,,,,,,
826,4892-VLANZ,Male,NO,No,No,1,Yes,No,No,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Month-to-month,Mailed check,19.8,19.8,4,,,,,,,,,10768,42,0691-JVSYA,Female,NO,Yes,No,53,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Yes,Fiber optic,One year,Bank transfer (automatic),94.85,5000.2,3,3,0,,,,,,,
3589,0616-ATFGB,Male,YES,Yes,No,1,No,No phone service,No,Yes,No,No,No,No,No,No,DSL,Month-to-month,Electronic check,25.05,25.05,2,,,,,,,,,7116,43,2656-FMOKZ,Female,YES,No,No,15,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Fiber optic,Month-to-month,Mailed check,74.45,1145.7,1,2,0,,,,,,,
5834,9300-RENDD,Male,NO,No,No,1,Yes,No,Yes,Yes,No,No,No,No,Yes,No,Fiber optic,Month-to-month,Electronic check,79.95,79.95,0,,,,,,,,,6100,44,2070-FNEXE,Female,YES,No,No,7,Yes,No,No,Yes,Yes,No,No,No,No,No,Fiber optic,Month-to-month,Bank transfer (automatic),76.45,503.6,4,2,1,,,,,,,
1155,0515-YPMCW,Male,NO,No,Yes,1,Yes,No,Yes,Yes,No,No,No,No,No,No,Fiber optic,Month-to-month,Mailed check,70.45,70.45,0,,,,,,,,,1660,45,6317-YPKDH,Female,NO,No,No,1,No,No phone service,No,Yes,No,Yes,No,No,No,No,DSL,Month-to-month,Bank transfer (automatic),29.95,29.95,0,1,1,,,,,,,
2197,2833-SLKDQ,Male,NO,No,No,1,Yes,No,No,Yes,No,No,No,No,No,No,DSL,Month-to-month,Mailed check,45.05,45.05,4,,,,,,,,,2320,46,9367-WXLCH,Male,NO,No,No,8,Yes,Yes,No,Yes,No,No,No,No,No,Yes,Fiber optic,Month-to-month,Bank transfer (automatic),84.5,662.65,3,2,1,,,,,,,
4401,3030-ZKIWL,Male,NO,No,No,1,Yes,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Month-to-month,Mailed check,20.05,20.05,4,,,,,,,,,4016,47,1918-ZBFQJ,Female,NO,No,No,13,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,Fiber optic,Month-to-month,Electronic check,79.25,1111.65,2,2,1,,,,,,,
1238,1541-ETJZO,Male,NO,No,No,1,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,DSL,Month-to-month,Mailed check,62.05,62.05,0,,,,,,,,,7394,48,1024-GUALD,Female,NO,Yes,No,1,No,No phone service,Yes,Yes,No,No,No,No,No,No,DSL,Month-to-month,Electronic check,24.8,24.8,7,1,1,,,,,,,
5025,8985-OOPOS,Female,NO,No,No,1,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,DSL,One year,Credit card (automatic),74.1,74.1,0,,,,,,,,,8180,49,2472-OVKUP,Male,NO,Yes,No,6,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Fiber optic,Month-to-month,Electronic check,91,531,1,2,0,,,,,,,
1829,3085-QUOZK,Female,NO,No,No,1,Yes,No,No,Yes,No,No,No,No,No,No,DSL,Month-to-month,Mailed check,43.95,43.95,0,,,,,,,,,9493,50,1285-OKIPP,Male,NO,No,No,1,Yes,No,No,Yes,No,No,No,No,No,Yes,Fiber optic,Month-to-month,Electronic check,79.9,79.9,0,1,1,,,,,,,
5576,1349-WXNGG,Male,NO,No,No,1,Yes,No,No,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Month-to-month,Bank transfer (automatic),20.05,20.05,4,,,,,,,,,8019,51,7825-ECJRF,Female,NO,No,No,19,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Fiber optic,Month-to-month,Electronic check,106.6,1934.45,2,2,0,,,,,,,
671,4910-GMJOT,Female,NO,No,No,1,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Fiber optic,Month-to-month,Electronic check,94.6,94.6,0,,,,,,,,,8720,52,7841-TZDMQ,Male,NO,No,No,2,Yes,No,Yes,Yes,No,No,No,No,No,No,DSL,Month-to-month,Credit card (automatic),46,84.5,0,1,1,,,,,,,
1288,5378-IKEEG,Female,NO,No,No,1,No,No phone service,Yes,Yes,No,No,No,No,Yes,No,DSL,Month-to-month,Electronic check,35.75,35.75,2,,,,,,,,,5458,53,9408-SSNVZ,Female,NO,No,No,4,Yes,No,Yes,Yes,No,No,No,No,No,No,Fiber optic,Month-to-month,Electronic check,70.15,268.35,1,1,1,,,,,,,
7266,3746-EUBYR,Male,NO,Yes,No,1,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Fiber optic,Month-to-month,Bank transfer (automatic),74.6,74.6,0,,,,,,,,,3836,54,0742-MOABM,Male,NO,Yes,No,4,Yes,No,No,Yes,No,No,No,Yes,No,No,DSL,Month-to-month,Mailed check,50.05,179.35,0,1,0,,,,,,,
3408,9507-EXLTT,Female,NO,Yes,No,1,Yes,No,Yes,Yes,No,No,No,No,Yes,No,Fiber optic,Month-to-month,Bank transfer (automatic),79.35,79.35,0,,,,,,,,,581,55,2232-DMLXU,Female,NO,Yes,No,1,Yes,No,No,Yes,No,No,No,No,Yes,No,DSL,Month-to-month,Mailed check,55.2,55.2,1,1,1,,,,,,,
4128,5522-JBWMO,Male,NO,No,Yes,1,Yes,No,No,No,No,No,No,No,No,No,DSL,Month-to-month,Electronic check,44,44,0,,,,,,,,,9495,56,8937-RDTHP,Male,NO,No,No,1,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,Fiber optic,Month-to-month,Mailed check,84.6,84.6,0,1,0,,,,,,,
4944,6358-LYNGM,Male,NO,No,No,1,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Fiber optic,Month-to-month,Electronic check,74.9,74.9,0,,,,,,,,,6695,57,1251-KRREG,Male,NO,No,No,2,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,DSL,Month-to-month,Mailed check,54.4,114.1,0,1,0,,,,,,,
5658,3946-MHCZW,Male,NO,No,No,1,Yes,No,No,Yes,No,No,Yes,No,No,No,DSL,Month-to-month,Mailed check,50.9,50.9,0,,,,,,,,,355,58,0094-OIFMO,Female,YES,No,No,11,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Fiber optic,Month-to-month,Electronic check,95,1120.3,2,2,0,,,,,,,
9522,1415-YFWLT,Female,YES,No,No,1,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,Fiber optic,Month-to-month,Electronic check,89.3,89.3,0,,,,,,,,,5164,59,9947-OTFQU,Male,YES,No,No,15,Yes,No,Yes,Yes,No,Yes,No,No,No,No,Fiber optic,Month-to-month,Electronic check,74.4,1074.3,1,2,1,,,,,,,
8284,6145-NNPNO,Female,NO,No,No,1,Yes,No,No,No,No,No,No,No,No,No,DSL,Month-to-month,Bank transfer (automatic),44.15,44.15,0,,,,,,,,,9660,60,0322-YINQP,Male,NO,No,No,1,Yes,No,Yes,Yes,Yes,No,No,No,No,No,DSL,Month-to-month,Mailed check,48.55,48.55,0,1,0,,,,,,,
5470,8375-DKEBR,Female,YES,No,No,1,Yes,No,Yes,Yes,No,No,No,No,No,No,Fiber optic,Month-to-month,Electronic check,69.6,69.6,5,,,,,,,,,5796,61,4629-NRXKX,Female,NO,Yes,Yes,2,Yes,No,No,Yes,No,No,No,No,No,No,Fiber optic,Month-to-month,Electronic check,70.4,147.15,0,1,0,,,,,,,
4295,2654-VBVPB,Female,NO,No,No,1,Yes,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Month-to-month,Bank transfer (automatic),19.9,19.9,4,,,,,,,,,5340,62,9514-JDSKI,Male,YES,Yes,No,1,No,No phone service,No,Yes,No,Yes,No,No,Yes,No,DSL,Month-to-month,Electronic check,40.2,40.2,2,1,0,,,,,,,
859,1086-LXKFY,Female,NO,Yes,Yes,1,Yes,No,Yes,Yes,No,No,No,No,No,No,Fiber optic,Month-to-month,Mailed check,69.1,69.1,0,,,,,,,,,2255,63,4959-JOSRX,Female,NO,Yes,No,2,Yes,No,Yes,Yes,No,No,No,No,No,No,DSL,Month-to-month,Credit card (automatic),44.6,80.55,0,1,0,,,,,,,
7922,6917-IAYHD,Male,NO,No,Yes,1,No,No phone service,No,No,No,Yes,No,Yes,No,No,DSL,Month-to-month,Mailed check,33.6,33.6,2,,,,,,,,,534,64,7273-TEFQD,Male,YES,No,No,3,No,No phone service,Yes,Yes,No,No,Yes,No,No,Yes,DSL,Month-to-month,Electronic check,41.15,132.2,0,1,1,,,,,,,
3358,2320-JRSDE,Female,NO,Yes,Yes,1,Yes,No,Yes,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Month-to-month,Electronic check,19.9,19.9,4,,,,,,,,,4471,65,3606-TWKGI,Male,YES,No,No,13,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Fiber optic,Month-to-month,Electronic check,106.9,1364.3,1,2,1,,,,,,,
7591,7291-CDTMJ,Male,NO,No,No,1,Yes,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Month-to-month,Bank transfer (automatic),19.65,19.65,4,,,,,,,,,7512,66,6323-AYBRX,Male,NO,No,No,59,Yes,No,No,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Two year,Mailed check,19.35,1099.6,1,2,0,,,,,,,
1253,0511-JTEOY,Female,NO,No,No,1,Yes,No,No,Yes,No,No,No,No,No,No,Fiber optic,Month-to-month,Mailed check,71.1,71.1,0,,,,,,,,,6882,67,4385-GZQXV,Female,YES,No,No,16,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Fiber optic,Month-to-month,Electronic check,94.45,1511.2,1,2,0,,,,,,,
7760,4255-DDUOU,Female,NO,Yes,Yes,1,Yes,No,Yes,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Month-to-month,Mailed check,20.5,20.5,1,,,,,,,,,3199,68,6366-ZGQGL,Male,NO,No,No,1,No,No phone service,No,Yes,No,No,No,No,No,No,DSL,Month-to-month,Bank transfer (automatic),24.8,24.8,2,1,0,,,,,,,
674,5539-TMZLF,Male,YES,No,No,1,Yes,No,Yes,Yes,No,No,No,No,No,No,Fiber optic,Month-to-month,Electronic check,69.75,69.75,0,,,,,,,,,2453,69,5940-AHUHD,Male,NO,No,No,1,Yes,No,No,Yes,No,No,No,No,No,No,Fiber optic,Month-to-month,Mailed check,70.6,70.6,0,1,1,,,,,,,
